	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
0	1970-01-01 00:00:00.000000000	1.9078249841724135e-05	1.934699634103448e-05	-26.295	2.649756820758621e-06	3.5553809310344827e-13	1.3729010166525854e-24
1	1970-01-01 00:00:00.000000001	0.0001867857277777778	0.00018744335	-26.295	2.5942462222222225e-05	4.474264622222223e-14	2.3069405185112922e-26
2	1970-01-01 00:00:00.000000002	0.00055950464	0.0005602178000000001	-26.295000000000005	7.7708978e-05	-1.3485579999999998e-16	3.417528946724029e-29
3	1970-01-01 00:00:00.000000003						
4	1970-01-01 00:00:00.000000004						
5	1970-01-01 00:00:00.000000005						
6	1970-01-01 00:00:00.000000006						
7	1970-01-01 00:00:00.000000007						
8	1970-01-01 00:00:00.000000008						
9	1970-01-01 00:00:00.000000009						
10	1970-01-01 00:00:00.000000010	0.003158971	0.003159684	-26.295	0.0004387459	7.652916e-18	4.999875316381892e-34
11	1970-01-01 00:00:00.000000011						
12	1970-01-01 00:00:00.000000012						
13	1970-01-01 00:00:00.000000013						
14	1970-01-01 00:00:00.000000014						
15	1970-01-01 00:00:00.000000015						
16	1970-01-01 00:00:00.000000016						
17	1970-01-01 00:00:00.000000017						
18	1970-01-01 00:00:00.000000018						
19	1970-01-01 00:00:00.000000019						
20	1970-01-01 00:00:00.000000020	0.006477959	0.006478673	-26.295	0.0008997165	2.4247110000000002e-17	5.0190930451968796e-33
21	1970-01-01 00:00:00.000000021						
22	1970-01-01 00:00:00.000000022						
23	1970-01-01 00:00:00.000000023						
24	1970-01-01 00:00:00.000000024						
25	1970-01-01 00:00:00.000000025						
26	1970-01-01 00:00:00.000000026						
27	1970-01-01 00:00:00.000000027						
28	1970-01-01 00:00:00.000000028						
29	1970-01-01 00:00:00.000000029						
30	1970-01-01 00:00:00.000000030						
31	1970-01-01 00:00:00.000000031	0.009796946	0.009797662	-26.295	0.001360687	3.6346460000000004e-17	1.1277933224236272e-32
32	1970-01-01 00:00:00.000000032						
33	1970-01-01 00:00:00.000000033						
34	1970-01-01 00:00:00.000000034						
35	1970-01-01 00:00:00.000000035						
36	1970-01-01 00:00:00.000000036						
37	1970-01-01 00:00:00.000000037						
38	1970-01-01 00:00:00.000000038						
39	1970-01-01 00:00:00.000000039						
40	1970-01-01 00:00:00.000000040						
41	1970-01-01 00:00:00.000000041	0.01311593	0.01311665	-26.295	0.001821658	4.888162e-17	2.0398416850138907e-32
42	1970-01-01 00:00:00.000000042						
43	1970-01-01 00:00:00.000000043						
44	1970-01-01 00:00:00.000000044						
45	1970-01-01 00:00:00.000000045						
46	1970-01-01 00:00:00.000000046						
47	1970-01-01 00:00:00.000000047						
48	1970-01-01 00:00:00.000000048						
49	1970-01-01 00:00:00.000000049						
50	1970-01-01 00:00:00.000000050						
51	1970-01-01 00:00:00.000000051	0.01643492	0.01643564	-26.295	0.002282628	6.173502e-17	3.253632277209622e-32
52	1970-01-01 00:00:00.000000052						
53	1970-01-01 00:00:00.000000053						
54	1970-01-01 00:00:00.000000054						
55	1970-01-01 00:00:00.000000055						
56	1970-01-01 00:00:00.000000056						
57	1970-01-01 00:00:00.000000057						
58	1970-01-01 00:00:00.000000058						
59	1970-01-01 00:00:00.000000059						
60	1970-01-01 00:00:00.000000060						
61	1970-01-01 00:00:00.000000061	0.01975391	0.01975463	-26.295	0.002743599	7.510032000000001e-17	4.8149175693242203e-32
62	1970-01-01 00:00:00.000000062						
63	1970-01-01 00:00:00.000000063						
64	1970-01-01 00:00:00.000000064						
65	1970-01-01 00:00:00.000000065						
66	1970-01-01 00:00:00.000000066						
67	1970-01-01 00:00:00.000000067						
68	1970-01-01 00:00:00.000000068						
69	1970-01-01 00:00:00.000000069						
70	1970-01-01 00:00:00.000000070						
71	1970-01-01 00:00:00.000000071	0.0230729	0.02307362	-26.295	0.003204569	8.897756000000001e-17	6.758748178899711e-32
72	1970-01-01 00:00:00.000000072						
73	1970-01-01 00:00:00.000000073						
74	1970-01-01 00:00:00.000000074						
75	1970-01-01 00:00:00.000000075						
76	1970-01-01 00:00:00.000000076						
77	1970-01-01 00:00:00.000000077						
